Year,Age Group,Deaths,Cause of death Code
2009,55-64 years,166,tb
2009,65-74 years,176,tb
2009,75-84 years,284,tb
2009,85+ years,174,tb
2010,< 1 year,1,tb
2010,1-4 years,1,tb
2010,5-14 years,3,tb
2010,15-24 years,8,tb
2010,25-34 years,22,tb
2010,35-44 years,42,tb
2010,45-54 years,114,tb
2010,55-64 years,198,tb
2010,65-74 years,196,tb
2010,75-84 years,231,tb
2010,85+ years,193,tb
2010,Not Stated,1,tb
2011,< 1 year,2,tb
2011,1-4 years,2,tb
2011,5-14 years,3,tb
2011,15-24 years,6,tb
2011,25-34 years,29,tb
2011,35-44 years,41,tb
2011,45-54 years,107,tb
2011,55-64 years,201,tb
2011,65-74 years,181,tb
2011,75-84 years,254,tb
2011,85+ years,179,tb
2012,1-4 years,3,tb
2012,15-24 years,6,tb
2012,25-34 years,9,tb
2012,35-44 years,27,tb
2012,45-54 years,118,tb
2012,55-64 years,186,tb
2012,65-74 years,178,tb
2012,75-84 years,231,tb
2012,85+ years,182,tb
2013,< 1 year,1,tb
2013,1-4 years,2,tb
2013,15-24 years,10,tb
2013,25-34 years,25,tb
2013,35-44 years,44,tb
2013,45-54 years,91,tb
2013,55-64 years,183,tb
2013,65-74 years,206,tb
2013,75-84 years,216,tb
2013,85+ years,205,tb
2014,1-4 years,1,tb
2014,5-14 years,2,tb
2014,15-24 years,5,tb
2014,25-34 years,15,tb
2014,35-44 years,33,tb
2014,45-54 years,87,tb
2014,55-64 years,187,tb
2014,65-74 years,177,tb
2014,75-84 years,212,tb
2014,85+ years,184,tb
2015,< 1 year,1,tb
2015,1-4 years,1,tb
2015,5-14 years,1,tb
2015,15-24 years,6,tb
2015,25-34 years,15,tb
2015,35-44 years,35,tb
2015,45-54 years,102,tb
2015,55-64 years,161,tb
2015,65-74 years,191,tb
2015,75-84 years,192,tb
2015,85+ years,178,tb
2016,< 1 year,1,tb
2016,5-14 years,1,tb
2016,15-24 years,7,tb
2016,25-34 years,18,tb
2016,35-44 years,45,tb
2016,45-54 years,92,tb
2016,55-64 years,207,tb
2016,65-74 years,204,tb
2016,75-84 years,202,tb
2016,85+ years,178,tb
1999,< 1 year,15,hiv
1999,1-4 years,26,hiv
1999,5-14 years,69,hiv
1999,15-24 years,209,hiv
1999,25-34 years,2824,hiv
1999,35-44 years,6658,hiv
1999,45-54 years,4361,hiv
1999,55-64 years,1334,hiv
1999,65-74 years,459,hiv
1999,75-84 years,85,hiv
1999,85+ years,18,hiv
1999,Not Stated,1,hiv
2000,< 1 year,12,hiv
2000,1-4 years,14,hiv
2000,5-14 years,47,hiv
2000,15-24 years,189,hiv
2000,25-34 years,2539,hiv
2000,35-44 years,6318,hiv
2000,45-54 years,4605,hiv
2000,55-64 years,1459,hiv
2000,65-74 years,472,hiv
2000,75-84 years,102,hiv
2000,85+ years,11,hiv
2001,< 1 year,12,hiv
2001,1-4 years,13,hiv
2001,5-14 years,40,hiv
2001,15-24 years,232,hiv
2001,25-34 years,2186,hiv
2001,35-44 years,6284,hiv
2001,45-54 years,4634,hiv
2001,55-64 years,1527,hiv
2001,65-74 years,469,hiv
2001,75-84 years,111,hiv
2001,85+ years,14,hiv
2001,Not Stated,2,hiv
2002,< 1 year,10,hiv
2002,1-4 years,5,hiv
2002,5-14 years,29,hiv
2002,15-24 years,183,hiv
2002,25-34 years,1896,hiv
2002,35-44 years,6112,hiv
2002,45-54 years,4998,hiv
2002,55-64 years,1619,hiv
2002,65-74 years,486,hiv
2002,75-84 years,116,hiv
2002,85+ years,17,hiv
2002,Not Stated,4,hiv
2003,< 1 year,5,hiv
2003,1-4 years,2,hiv
2003,5-14 years,36,hiv
2003,15-24 years,186,hiv
2003,25-34 years,1649,hiv
2003,35-44 years,5731,hiv
2003,45-54 years,4999,hiv
2003,55-64 years,1786,hiv
2003,65-74 years,544,hiv
2003,75-84 years,119,hiv
2003,85+ years,15,hiv
2003,Not Stated,3,hiv
2004,< 1 year,4,hiv
2004,1-4 years,4,hiv
2004,5-14 years,30,hiv
2004,15-24 years,197,hiv
2004,25-34 years,1520,hiv
2004,35-44 years,5187,hiv
2004,45-54 years,4993,hiv
2004,55-64 years,1865,hiv
2004,65-74 years,526,hiv
2004,75-84 years,135,hiv
2004,85+ years,21,hiv
2004,Not Stated,6,hiv
2005,< 1 year,5,hiv
2005,1-4 years,2,hiv
2005,5-14 years,13,hiv
2005,15-24 years,166,hiv
2005,25-34 years,1389,hiv
2005,35-44 years,4736,hiv
2005,45-54 years,5143,hiv
2005,55-64 years,1950,hiv
2005,65-74 years,572,hiv
2005,75-84 years,135,hiv
2005,85+ years,20,hiv
2005,Not Stated,1,hiv
2006,< 1 year,9,hiv
2006,1-4 years,1,hiv
2006,5-14 years,15,hiv
2006,15-24 years,211,hiv
2006,25-34 years,1233,hiv
2006,35-44 years,4305,hiv
2006,45-54 years,4969,hiv
2006,55-64 years,2073,hiv
2006,65-74 years,601,hiv
2006,75-84 years,138,hiv
2006,85+ years,16,hiv
2006,Not Stated,1,hiv
2007,< 1 year,6,hiv
2007,1-4 years,4,hiv
2007,5-14 years,11,hiv
2007,15-24 years,164,hiv
2007,25-34 years,1133,hiv
2007,35-44 years,3842,hiv
2007,45-54 years,4723,hiv
2007,55-64 years,2083,hiv
2007,65-74 years,558,hiv
2007,75-84 years,142,hiv
2007,85+ years,22,hiv
2007,Not Stated,4,hiv
2008,< 1 year,1,hiv
2008,1-4 years,2,hiv
2008,5-14 years,1,hiv
2008,15-24 years,174,hiv
2008,25-34 years,1019,hiv
2008,35-44 years,3108,hiv
2008,45-54 years,4315,hiv
2008,55-64 years,2378,hiv
2008,65-74 years,672,hiv
2008,75-84 years,151,hiv
2008,85+ years,36,hiv
2009,< 1 year,3,hiv
2009,1-4 years,1,hiv
2009,5-14 years,4,hiv
2009,15-24 years,155,hiv
2009,25-34 years,931,hiv
2009,35-44 years,2654,hiv
2009,45-54 years,4029,hiv
2009,55-64 years,2366,hiv
2009,65-74 years,747,hiv
2009,75-84 years,175,hiv
2009,85+ years,29,hiv
2009,Not Stated,1,hiv
2010,1-4 years,2,hiv
2010,5-14 years,3,hiv
2010,15-24 years,152,hiv
2010,25-34 years,774,hiv
2010,35-44 years,2098,hiv
2010,45-54 years,3723,hiv
2010,55-64 years,2342,hiv
2010,65-74 years,675,hiv
2010,75-84 years,179,hiv
2010,85+ years,29,hiv
2011,< 1 year,3,hiv
2011,5-14 years,1,hiv
2011,15-24 years,141,hiv
2011,25-34 years,703,hiv
2011,35-44 years,1800,hiv
2011,45-54 years,3369,hiv
2011,55-64 years,2387,hiv
2011,65-74 years,728,hiv
2011,75-84 years,190,hiv
2011,85+ years,29,hiv
2012,< 1 year,2,hiv
2012,1-4 years,1,hiv
2012,5-14 years,4,hiv
2012,15-24 years,122,hiv
2012,25-34 years,701,hiv
2012,35-44 years,1523,hiv
2012,45-54 years,3165,hiv
2012,55-64 years,2434,hiv
2012,65-74 years,773,hiv
2012,75-84 years,194,hiv
2012,85+ years,30,hiv
2012,Not Stated,1,hiv
2013,< 1 year,1,hiv
2013,1-4 years,1,hiv
2013,5-14 years,2,hiv
2013,15-24 years,117,hiv
2013,25-34 years,680,hiv
2013,35-44 years,1406,hiv
2013,45-54 years,3009,hiv
2013,55-64 years,2461,hiv
2013,65-74 years,842,hiv
2013,75-84 years,231,hiv
2013,85+ years,31,hiv
2013,Not Stated,1,hiv
2014,< 1 year,1,hiv
2014,15-24 years,122,hiv
2014,25-34 years,616,hiv
2014,35-44 years,1335,hiv
2014,45-54 years,2819,hiv
2014,55-64 years,2540,hiv
2014,65-74 years,902,hiv
2014,75-84 years,238,hiv
2014,85+ years,44,hiv
2014,Not Stated,2,hiv
2015,< 1 year,2,hiv
2015,1-4 years,2,hiv
2015,5-14 years,1,hiv
2015,15-24 years,102,hiv
2015,25-34 years,569,hiv
2015,35-44 years,1198,hiv
2015,45-54 years,2542,hiv
2015,55-64 years,2521,hiv
2015,65-74 years,1051,hiv
2015,75-84 years,268,hiv
2015,85+ years,44,hiv
2016,5-14 years,1,hiv
2016,15-24 years,74,hiv
2016,25-34 years,589,hiv
2016,35-44 years,1097,hiv
2016,45-54 years,2332,hiv
2016,55-64 years,2594,hiv
2016,65-74 years,1052,hiv
2016,75-84 years,276,hiv
2016,85+ years,53,hiv
1999,< 1 year,17,tb_hiv
1999,1-4 years,28,tb_hiv
1999,5-14 years,72,tb_hiv
1999,15-24 years,223,tb_hiv
1999,25-34 years,2865,tb_hiv
1999,35-44 years,6788,tb_hiv
1999,45-54 years,4564,tb_hiv
1999,55-64 years,1585,tb_hiv
1999,65-74 years,828,tb_hiv
1999,75-84 years,582,tb_hiv
1999,85+ years,355,tb_hiv
1999,Not Stated,2,tb_hiv
2000,< 1 year,13,tb_hiv
2000,1-4 years,21,tb_hiv
2000,5-14 years,48,tb_hiv
2000,15-24 years,206,tb_hiv
2000,25-34 years,2575,tb_hiv
2000,35-44 years,6414,tb_hiv
2000,45-54 years,4788,tb_hiv
2000,55-64 years,1649,tb_hiv
2000,65-74 years,769,tb_hiv
2000,75-84 years,578,tb_hiv
2000,85+ years,255,tb_hiv
2000,Not Stated,1,tb_hiv
2001,< 1 year,15,tb_hiv
2001,1-4 years,15,tb_hiv
2001,5-14 years,41,tb_hiv
2001,15-24 years,247,tb_hiv
2001,25-34 years,2226,tb_hiv
2001,35-44 years,6375,tb_hiv
2001,45-54 years,4790,tb_hiv
2001,55-64 years,1744,tb_hiv
2001,65-74 years,768,tb_hiv
2001,75-84 years,545,tb_hiv
2001,85+ years,258,tb_hiv
2001,Not Stated,3,tb_hiv
2002,< 1 year,13,tb_hiv
2002,1-4 years,6,tb_hiv
2002,5-14 years,30,tb_hiv
2002,15-24 years,196,tb_hiv
2002,25-34 years,1928,tb_hiv
2002,35-44 years,6205,tb_hiv
2002,45-54 years,5155,tb_hiv
2002,55-64 years,1816,tb_hiv
2002,65-74 years,778,tb_hiv
2002,75-84 years,526,tb_hiv
2002,85+ years,252,tb_hiv
2002,Not Stated,4,tb_hiv
2003,< 1 year,5,tb_hiv
2003,1-4 years,3,tb_hiv
2003,5-14 years,38,tb_hiv
2003,15-24 years,201,tb_hiv
2003,25-34 years,1682,tb_hiv
2003,35-44 years,5803,tb_hiv
2003,45-54 years,5184,tb_hiv
2003,55-64 years,1985,tb_hiv
2003,65-74 years,778,tb_hiv
2003,75-84 years,535,tb_hiv
2003,85+ years,225,tb_hiv
2003,Not Stated,4,tb_hiv
2004,< 1 year,6,tb_hiv
2004,1-4 years,5,tb_hiv
2004,5-14 years,34,tb_hiv
2004,15-24 years,204,tb_hiv
2004,25-34 years,1544,tb_hiv
2004,35-44 years,5273,tb_hiv
2004,45-54 years,5137,tb_hiv
2004,55-64 years,2034,tb_hiv
2004,65-74 years,774,tb_hiv
2004,75-84 years,455,tb_hiv
2004,85+ years,242,tb_hiv
2004,Not Stated,6,tb_hiv
2005,< 1 year,7,tb_hiv
2005,1-4 years,6,tb_hiv
2005,5-14 years,15,tb_hiv
2005,15-24 years,187,tb_hiv
2005,25-34 years,1422,tb_hiv
2005,35-44 years,4809,tb_hiv
2005,45-54 years,5304,tb_hiv
2005,55-64 years,2130,tb_hiv
2005,65-74 years,800,tb_hiv
2005,75-84 years,468,tb_hiv
2005,85+ years,239,tb_hiv
2005,Not Stated,1,tb_hiv
2006,< 1 year,9,tb_hiv
2006,1-4 years,5,tb_hiv
2006,5-14 years,16,tb_hiv
2006,15-24 years,219,tb_hiv
2006,25-34 years,1263,tb_hiv
2006,35-44 years,4356,tb_hiv
2006,45-54 years,5136,tb_hiv
2006,55-64 years,2256,tb_hiv
2006,65-74 years,816,tb_hiv
2006,75-84 years,470,tb_hiv
2006,85+ years,224,tb_hiv
2006,Not Stated,1,tb_hiv
2007,< 1 year,8,tb_hiv
2007,1-4 years,5,tb_hiv
2007,5-14 years,14,tb_hiv
2007,15-24 years,172,tb_hiv
2007,25-34 years,1157,tb_hiv
2007,35-44 years,3907,tb_hiv
2007,45-54 years,4860,tb_hiv
2007,55-64 years,2237,tb_hiv
2007,65-74 years,743,tb_hiv
2007,75-84 years,437,tb_hiv
2007,85+ years,190,tb_hiv
2007,Not Stated,4,tb_hiv
2008,< 1 year,1,tb_hiv
2008,1-4 years,4,tb_hiv
2008,5-14 years,4,tb_hiv
2008,15-24 years,182,tb_hiv
2008,25-34 years,1043,tb_hiv
2008,35-44 years,3161,tb_hiv
2008,45-54 years,4456,tb_hiv
2008,55-64 years,2550,tb_hiv
2008,65-74 years,883,tb_hiv
2008,75-84 years,428,tb_hiv
2008,85+ years,251,tb_hiv
2009,< 1 year,5,tb_hiv
2009,1-4 years,1,tb_hiv
2009,5-14 years,6,tb_hiv
2009,15-24 years,167,tb_hiv
2009,25-34 years,956,tb_hiv
2009,35-44 years,2692,tb_hiv
2009,45-54 years,4144,tb_hiv
2009,55-64 years,2532,tb_hiv
2009,65-74 years,923,tb_hiv
2009,75-84 years,459,tb_hiv
2009,85+ years,203,tb_hiv
2009,Not Stated,1,tb_hiv
2010,< 1 year,1,tb_hiv
2010,1-4 years,3,tb_hiv
2010,5-14 years,6,tb_hiv
2010,15-24 years,160,tb_hiv
2010,25-34 years,796,tb_hiv
2010,35-44 years,2140,tb_hiv
2010,45-54 years,3837,tb_hiv
2010,55-64 years,2540,tb_hiv
2010,65-74 years,871,tb_hiv
2010,75-84 years,410,tb_hiv
2010,85+ years,222,tb_hiv
2010,Not Stated,1,tb_hiv
2011,< 1 year,5,tb_hiv
2011,1-4 years,2,tb_hiv
2011,5-14 years,4,tb_hiv
2011,15-24 years,147,tb_hiv
2011,25-34 years,732,tb_hiv
2011,35-44 years,1841,tb_hiv
2011,45-54 years,3476,tb_hiv
2011,55-64 years,2588,tb_hiv
2011,65-74 years,909,tb_hiv
2011,75-84 years,444,tb_hiv
2011,85+ years,208,tb_hiv
2012,< 1 year,2,tb_hiv
2012,1-4 years,4,tb_hiv
2012,5-14 years,4,tb_hiv
2012,15-24 years,128,tb_hiv
2012,25-34 years,710,tb_hiv
2012,35-44 years,1550,tb_hiv
2012,45-54 years,3283,tb_hiv
2012,55-64 years,2620,tb_hiv
2012,65-74 years,951,tb_hiv
2012,75-84 years,425,tb_hiv
2012,85+ years,212,tb_hiv
2012,Not Stated,1,tb_hiv
2013,< 1 year,2,tb_hiv
2013,1-4 years,3,tb_hiv
2013,5-14 years,2,tb_hiv
2013,15-24 years,127,tb_hiv
2013,25-34 years,705,tb_hiv
2013,35-44 years,1450,tb_hiv
2013,45-54 years,3100,tb_hiv
2013,55-64 years,2644,tb_hiv
2013,65-74 years,1048,tb_hiv
2013,75-84 years,447,tb_hiv
2013,85+ years,236,tb_hiv
2013,Not Stated,1,tb_hiv
2014,< 1 year,1,tb_hiv
2014,1-4 years,1,tb_hiv
2014,5-14 years,2,tb_hiv
2014,15-24 years,127,tb_hiv
2014,25-34 years,631,tb_hiv
2014,35-44 years,1368,tb_hiv
2014,45-54 years,2906,tb_hiv
2014,55-64 years,2727,tb_hiv
2014,65-74 years,1079,tb_hiv
2014,75-84 years,450,tb_hiv
2014,85+ years,228,tb_hiv
2014,Not Stated,2,tb_hiv
2015,< 1 year,3,tb_hiv
2015,1-4 years,3,tb_hiv
2015,5-14 years,2,tb_hiv
2015,15-24 years,108,tb_hiv
2015,25-34 years,584,tb_hiv
2015,35-44 years,1233,tb_hiv
2015,45-54 years,2644,tb_hiv
2015,55-64 years,2682,tb_hiv
2015,65-74 years,1242,tb_hiv
2015,75-84 years,460,tb_hiv
2015,85+ years,222,tb_hiv
2016,< 1 year,1,tb_hiv
2016,5-14 years,2,tb_hiv
2016,15-24 years,81,tb_hiv
2016,25-34 years,607,tb_hiv
2016,35-44 years,1142,tb_hiv
2016,45-54 years,2424,tb_hiv
2016,55-64 years,2801,tb_hiv
2016,65-74 years,1256,tb_hiv
2016,75-84 years,478,tb_hiv
2016,85+ years,231,tb_hiv
