"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2","TransMean"
"rslow",7e-04,7.95644752036434e-05,0.00197956447755842,1,1,1.92235556837763,2746.22224053947,-7.26443022292087
"rslowH",0.042,0.00732836871893207,0.106328374538968,1,1,2.59802219398542,61.8576712853672,-3.17008566069877
"rrSlowFB",1.2,0.962856678356729,1.46285668117573,1,1,88.3318749653768,73.6098958044807,0.182321556793955
"TunrslowAge",0.2,0.0944580687005136,0.344458061046109,1,1,9.66014581480608,48.3007290740304,-1.6094379124341
"rfast",0.55,0.189400083611475,1.09940013407782,1,1,5.44054183613547,9.89189424751904,-0.59783700075562
"rRecov",0.03,0.0102259922749656,0.0602259909113412,1,1,5.35925205429627,178.641735143209,-3.50655789731998
"rSlfCur",0.2,0.112409299741664,0.312409288193867,1,1,15.1912515285738,75.9562576428692,-1.6094379124341
"rLtScr",0.025,0.0007130066116621,0.0907130113767447,1,1,1.03924185938663,41.569674375465,-3.68887945411394
"SensLt",0.8,0.753117054593602,0.843117065090707,0,1,241.362125221546,60.3405313053865,1.38629436111989
"SpecLt",0.975,0.964033642453896,0.984033638025269,0,1,905.246771502164,23.2114556795427,3.66356164612965
"rrTestHr",3,1.17202702217926,5.67204266400108,1,1,6.65605126688223,2.21868375562741,1.09861228866811
"rrTestLrNoTb",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704037,-1.6094379124341
"pDefLt",0.33,0.290608403041522,0.370608402988645,0,1,174.677682923762,354.648628966425,-0.708185057924485
"EffLt",0.9,0.812226467600921,0.962226424724736,0,1,52.9148897926756,5.87943219918618,2.19722457733622
"SensSn",0.95,0.895212689017854,0.985212657844371,0,1,81.4700349192273,4.28789657469618,2.94443897916644
"SensSp",0.995,0.989485271263128,0.998485267105059,0,1,903.979219954568,4.54260914550034,5.29330482472449
"pImmScen",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964,0
"DelaySp",0.6,0.375801866060039,0.875801786080502,1,1,21.9519300634154,36.5865501056924,-0.510825623765991
"Dx1",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"Dx2",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"Dx3",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"Dx4",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"Dx5",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"rrDxH",3,2.08243060519417,4.082431131473,1,1,34.3980056036092,11.4660018678697,1.09861228866811
"TunRRdxAge",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843,0
"pDst",0.8,0.69048978424695,0.890489750317982,0,1,47.7010704691515,11.9252676172879,1.38629436111989
"TunTxMort",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165,0
"pCurPs",0.96,0.93761328174069,0.977613272271258,0,1,348.969424801689,14.5403927000704,3.17805383034794
"TxDefEarly",0.1,0.0148130052557107,0.264812969121218,1,1,2.29251753792631,22.9251753792631,-2.30258509299405
"TunTxDef",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616,0
"RRdefHR",2,1.20039302070409,3.00039217308983,1,1,18.7954139569188,9.39770697845939,0.693147180559945
"TxQualEarly",0.85,0.752901795865771,0.952901795935996,1,1,277.369968824924,326.317610382263,-0.162518929497775
"TunTxQual",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616,0
"RRcurDef",0.25,0.0900864649820029,0.490086371785787,1,1,5.82953104251679,23.3181241700672,-1.38629436111989
"pReTx",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165,0
"RF_fact",20,2.50032156660666,37.4996784333933,2,1,20,8.92857142857143,20
