"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2","TransMean","P","reldens2"
"rrSlowFB",1.2,0.962856678356729,1.46285668117573,1,1,88.331874965377,73.6098958044808,0.182321556793955,1.01258534119445,-1.03
"TunrslowAge",0.2,0.0944580687005136,0.344458061046109,1,1,9.66014581480608,48.3007290740304,-1.6094379124341,0.17437867240024,0.05
"rfast",0.55,0.189400083611475,1.09940013407782,1,1,5.44054183613547,9.89189424751904,-0.59783700075562,0.45178034257472,0.1
"rRecov",0.03,0.0102259922749656,0.0602259909113412,1,1,5.35925205429627,178.641735143209,-3.50655789731998,0.0138587350071276,-0.48
"pSmPos",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964,0,0.432949385300344,-0.11
"ORpSmPos1",0.07,0.0153430020035041,0.165343023204748,1,1,3.17686679567911,45.3838113668444,-2.65926003693278,0.0499847758249049,0.18
"ORpSmPosH",0.28,0.139190938168379,0.46919097516791,1,1,10.8880892530441,38.8860330465859,-1.27296567581289,0.27793009512034,0.01
"rSlfCur",0.2,0.112409299741664,0.312409288193867,1,1,15.1912515285739,75.9562576428693,-1.6094379124341,0.130054943933048,-0.79
"rSmConv",0.15,0.0570628259833457,0.287062848010006,1,1,6.36253180661865,42.416878710791,-1.89711998488588,0.110084225415962,0.03
"rLtScr",0.025,0.000713006611662098,0.0907130113767447,1,1,1.03924185938663,41.569674375465,-3.68887945411394,0.0457832601053567,-0.84
"SensLt",0.8,0.753117054593602,0.843117065090707,0,1,241.362125221546,60.3405313053865,1.38629436111989,0.813108625146347,-0.12
"rrSensLtHiv",0.85,0.767219159642989,0.917219140168941,0,1,72.2209448522882,12.744872620992,1.73460105538811,0.865689155349882,0.01
"SpecLt",0.975,0.964033642453896,0.984033638025269,0,1,905.246771502164,23.2114556795427,3.66356164612965,0.991278440517484,-8.42
"rrTestHr",3,1.17202702217926,5.67204266400108,1,1,6.65605126688223,2.21868375562741,1.09861228866811,3.28632390603404,-0.12
"rrTestHiv",3,1.17202702217926,5.67204266400108,1,1,6.65605126688223,2.21868375562741,1.09861228866811,4.54054491973282,-1.07
"rrTestLrNoTb",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341,0.162999192031946,0.07
"pDefLt",0.33,0.290608403041522,0.370608402988645,0,1,174.677682923762,354.648628966425,-0.708185057924485,0.330327049316462,0
"EffLt",0.9,0.812226467600921,0.962226424724736,0,1,52.9148897926757,5.87943219918618,2.19722457733622,0.913202223888094,0.07
"SensSn",0.95,0.895212689017854,0.985212657844371,0,1,81.4700349192273,4.28789657469618,2.94443897916644,0.966766577419953,0.06
"SensSp",0.995,0.989485271263128,0.998485267105059,0,1,903.979219954568,4.54260914550034,5.29330482472449,0.996111007778923,0.12
"pImmScen",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964,0,0.614471856581369,-0.32
"DelaySn",1.5,0.999901434256961,2.09990102295297,1,1,28.3978327076109,18.9318884717406,0.405465108108164,1.23813646304733,-0.3
"DelaySp",0.6,0.375801866060039,0.875801786080502,1,1,21.9519300634154,36.5865501056924,-0.510825623765991,0.546357247984719,0
"Dx1",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,0.743134810592423,-1.06
"Dx2",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,-0.45433218881357,-0.4
"Dx3",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,0.1820585352188,-0.06
"Dx4",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,0.780311087439428,-1.17
"Dx5",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,-0.0224790398091663,0
"rrDxH",3,2.08243060519417,4.082431131473,1,1,34.3980056036092,11.4660018678697,1.09861228866811,2.366409916484,-0.66
"TunRRdxAge",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843,0,0.510400880814976,-0.55
"pDst",0.8,0.69048978424695,0.890489750317982,0,1,47.7010704691515,11.9252676172879,1.38629436111989,0.825309013588533,-0.02
"TunTxMort",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165,0,0.200135334156263,-1.58
"pCurPs",0.96,0.93761328174069,0.977613272271258,0,1,348.969424801689,14.5403927000704,3.17805383034794,0.962326801839938,0.03
"TxEf1",0.9,0.818922535838297,0.958922657439777,0,1,61.0985369569736,6.78872632855262,2.19722457733622,0.915327402650128,0.05
"TxEf2",0.5,0.349999997750302,0.650000002249698,0,1,20.6124812994715,20.6124812994715,0,0.517125100943457,-0.02
"TxEf3",0.9,0.812226467600921,0.962226424724736,0,1,52.9148897926757,5.87943219918618,2.19722457733622,0.919707244146149,0.05
"TxDefEarly",0.1,0.0148130052557107,0.264812969121218,1,1,2.29251753792631,22.9251753792631,-2.30258509299405,0.145597304177462,-0.56
"TunTxDef",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616,0,0.88924287032796,-0.22
"RRdefHR",2,1.20039302070409,3.00039217308983,1,1,18.7954139569188,9.39770697845939,0.693147180559945,1.8038382977145,0.01
"TxQualEarly",0.85,0.752901795865771,0.952901795935996,1,1,277.369968824923,326.317610382263,-0.162518929497775,0.767269157099508,-1.3
"TunTxQual",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616,0,1.18737188977906,-0.96
"RRcurDef",0.25,0.090086464982003,0.490086371785787,1,1,5.8295310425168,23.3181241700672,-1.38629436111989,0.254415033031596,-0.02
"pReTx",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165,0,0.607165429013774,-0.17
"pAR1",0.13,0.05016859659151,0.240168614070062,0,1,5.96121774896631,39.8943033969284,-1.90095876119305,0.119797509976668,0.05
"pAR2",0.08,0.0243705874803054,0.164370586312856,0,1,4.36943267567925,50.2484757703114,-2.4423470353692,0.0529659426149233,0.04
"pAR3",0.07,0.0193621854638949,0.149362192630841,0,1,3.90696825845153,51.9068640051418,-2.58668934409794,0.0219110895885406,-0.81
"pAR4",0.49,0.24136973182313,0.741369356020537,0,1,6.77445362086017,7.05096193191569,-0.0400053346136992,0.401300138034522,-0.18
"pAR5",0.2,0.0863929735086577,0.346392905322219,0,1,6.90350173944683,27.6140069577873,-1.38629436111989,0.174352515610598,0.03
"fAR",2,0.781354545769001,3.78135465748931,1,1,6.65609821456728,3.32804910728364,0.693147180559945,2.09192750168781,-0.05
"rArtInit15",2,0.781354545769001,3.78135465748931,1,1,6.65609821456728,3.32804910728364,0.693147180559945,2.5548823533216,-0.46
"rrArtInitL",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751,-2.30258509299405,0.031484738576173,-1.98
"rrArtInitHR",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341,0.220683789155166,-0.13
"r_ArtLtfu",0.15,0.0511299551872382,0.301129969874406,1,1,5.35925110328567,35.7283406885711,-1.89711998488588,0.0154995834471749,-5.09
