"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2","TransMean"
"CR",10,5.62044879862029,15.620491377322,1,1,15.1911189121333,1.51911189121333,2.30258509299405
"Early0",0.5,0.15184954012896,1.05184928162351,1,1,4.57077582225242,9.14155164450484,-0.693147180559945
"TrIn",0.23,0.113248185639959,0.3732481754827,0,1,8.85756650753666,29.6535922208836,-1.20831120592453
"RelCrHr",3,1.68613836467279,4.68614120774134,1,1,15.1912206321218,5.06374021070726,1.09861228866811
"sigmaHiv",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637,0
"sigmaHr",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637,0
"sigmaFb",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637,0
"TunRelFit",1,0.148131600907635,2.64812238850391,1,1,2.29253484524777,2.29253484524777,0
"pfast",0.064,0.00356154120331806,0.200561484697816,0,1,1.30367344334469,19.0662241089161,-2.68273239311792
"pimmed",0.25,0.050587279773083,0.540587305904421,0,1,2.55519751416783,7.66559254250349,-1.09861228866811
"ORpfast1",2.5,0.81427964998191,5.11428214094487,1,1,5.02177267330843,2.00870906932337,0.916290731874155
"ORpfast2",0.5,0.180172910118262,0.980172790625303,1,1,5.82953003922563,11.6590600784513,-0.693147180559945
"ORpfastH",10,3.90678333636268,18.9067496733717,1,1,6.65612936255651,0.665612936255651,2.30258509299405
"ORpfastPI",0.21,0.0805002847893418,0.400500355795249,1,1,6.4444419110023,30.6878186238205,-1.56064774826467
"rslow",0.00067,5.72468333310256e-05,0.0020172468330425,1,1,1.63540882673295,2440.90869661634,-7.30823284557926
"rslowH",0.042,0.00732836871893207,0.106328374538968,1,1,2.59802219398542,61.8576712853672,-3.17008566069877
"rrSlowFB",1.2,0.962856678356729,1.46285668117573,1,1,88.331874965377,73.6098958044808,0.182321556793955
"TunrslowAge",0.2,0.0944580687005136,0.344458061046109,1,1,9.66014581480608,48.3007290740304,-1.6094379124341
"rfast",0.55,0.189400083611475,1.09940013407782,1,1,5.44054183613547,9.89189424751904,-0.59783700075562
"rRecov",0.03,0.0102259922749656,0.0602259909113412,1,1,5.35925205429627,178.641735143209,-3.50655789731998
"pSmPos",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964,0
"ORpSmPos1",0.07,0.0153430020035041,0.165343023204748,1,1,3.17686679567911,45.3838113668444,-2.65926003693278
"ORpSmPosH",0.28,0.139190938168379,0.46919097516791,1,1,10.8880892530441,38.8860330465859,-1.27296567581289
"rSlfCur",0.2,0.112409299741664,0.312409288193867,1,1,15.1912515285739,75.9562576428693,-1.6094379124341
"rSmConv",0.15,0.0570628259833457,0.287062848010006,1,1,6.36253180661865,42.416878710791,-1.89711998488588
"rLtScr",0.025,0.000713006611662098,0.0907130113767447,1,1,1.03924185938663,41.569674375465,-3.68887945411394
"SensLt",0.8,0.753117054593602,0.843117065090707,0,1,241.362125221546,60.3405313053865,1.38629436111989
"rrSensLtHiv",0.85,0.767219159642989,0.917219140168941,0,1,72.2209448522882,12.744872620992,1.73460105538811
"SpecLt",0.975,0.964033642453896,0.984033638025269,0,1,905.246771502164,23.2114556795427,3.66356164612965
"rrTestHr",3,1.17202702217926,5.67204266400108,1,1,6.65605126688223,2.21868375562741,1.09861228866811
"rrTestHiv",3,1.17202702217926,5.67204266400108,1,1,6.65605126688223,2.21868375562741,1.09861228866811
"rrTestLrNoTb",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341
"pDefLt",0.33,0.290608403041522,0.370608402988645,0,1,174.677682923762,354.648628966425,-0.708185057924485
"EffLt",0.9,0.812226467600921,0.962226424724736,0,1,52.9148897926757,5.87943219918618,2.19722457733622
"SensSn",0.95,0.895212689017854,0.985212657844371,0,1,81.4700349192273,4.28789657469618,2.94443897916644
"SensSp",0.995,0.989485271263128,0.998485267105059,0,1,903.979219954568,4.54260914550034,5.29330482472449
"pImmScen",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964,0
"DelaySn",1.5,0.999901434256961,2.09990102295297,1,1,28.3978327076109,18.9318884717406,0.405465108108164
"DelaySp",0.6,0.375801866060039,0.875801786080502,1,1,21.9519300634154,36.5865501056924,-0.510825623765991
"Dx1",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"Dx2",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"Dx3",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"Dx4",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"Dx5",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"rrDxH",3,2.08243060519417,4.082431131473,1,1,34.3980056036092,11.4660018678697,1.09861228866811
"TunRRdxAge",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843,0
"pDst",0.8,0.69048978424695,0.890489750317982,0,1,47.7010704691515,11.9252676172879,1.38629436111989
"TunTxMort",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165,0
"pCurPs",0.96,0.93761328174069,0.977613272271258,0,1,348.969424801689,14.5403927000704,3.17805383034794
"TxEf1",0.9,0.818922535838297,0.958922657439777,0,1,61.0985369569736,6.78872632855262,2.19722457733622
"TxEf2",0.5,0.349999997750302,0.650000002249698,0,1,20.6124812994715,20.6124812994715,0
"TxEf3",0.9,0.812226467600921,0.962226424724736,0,1,52.9148897926757,5.87943219918618,2.19722457733622
"TxDefEarly",0.1,0.0148130052557107,0.264812969121218,1,1,2.29251753792631,22.9251753792631,-2.30258509299405
"TunTxDef",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616,0
"RRdefHR",2,1.20039302070409,3.00039217308983,1,1,18.7954139569188,9.39770697845939,0.693147180559945
"TxQualEarly",0.85,0.752901795865771,0.952901795935996,1,1,277.369968824923,326.317610382263,-0.162518929497775
"TunTxQual",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616,0
"RRcurDef",0.25,0.090086464982003,0.490086371785787,1,1,5.8295310425168,23.3181241700672,-1.38629436111989
"pReTx",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165,0
"pAR1",0.13,0.05016859659151,0.240168614070062,0,1,5.96121774896631,39.8943033969284,-1.90095876119305
"pAR2",0.08,0.0243705874803054,0.164370586312856,0,1,4.36943267567925,50.2484757703114,-2.4423470353692
"pAR3",0.07,0.0193621854638949,0.149362192630841,0,1,3.90696825845153,51.9068640051418,-2.58668934409794
"pAR4",0.49,0.24136973182313,0.741369356020537,0,1,6.77445362086017,7.05096193191569,-0.0400053346136992
"pAR5",0.2,0.0863929735086577,0.346392905322219,0,1,6.90350173944683,27.6140069577873,-1.38629436111989
"fAR",2,0.781354545769001,3.78135465748931,1,1,6.65609821456728,3.32804910728364,0.693147180559945
"rArtInit15",2,0.781354545769001,3.78135465748931,1,1,6.65609821456728,3.32804910728364,0.693147180559945
"rrArtInitL",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751,-2.30258509299405
"rrArtInitHR",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341
"r_ArtLtfu",0.15,0.0511299551872382,0.301129969874406,1,1,5.35925110328567,35.7283406885711,-1.89711998488588
